DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
01/29/2023,01:00,AEEC, 9.91,N
01/29/2023,01:00,AGUAYO_UNIT1, 10.22,N
01/29/2023,01:00,AJAXWIND_RN, 9.9,N
01/29/2023,01:00,ALGOD_ALL_RN, 6.92,N
01/29/2023,01:00,ALVIN_RN, 10.1,N
01/29/2023,01:00,AMADEUS_ALL, 9.85,N
01/29/2023,01:00,AMISTAD_ALL, 22.59,N
01/29/2023,01:00,AMOCOOIL_CC1, 10.1,N
01/29/2023,01:00,AMOCOOIL_CC2, 10.1,N
01/29/2023,01:00,AMOCO_PUN1, 10.1,N
01/29/2023,01:00,AMOCO_PUN2, 10.1,N
01/29/2023,01:00,AMO_AMOCO_1, 10.1,N
01/29/2023,01:00,AMO_AMOCO_2, 10.1,N
01/29/2023,01:00,AMO_AMOCO_5, 10.1,N
01/29/2023,01:00,AMO_AMOCO_G1, 10.1,N
01/29/2023,01:00,AMO_AMOCO_G2, 10.1,N
01/29/2023,01:00,AMO_AMOCO_G3, 10.1,N
01/29/2023,01:00,AMO_AMOCO_S1, 10.1,N
01/29/2023,01:00,AMO_AMOCO_S2, 10.1,N
01/29/2023,01:00,ANACACHO_ANA, 19.03,N
01/29/2023,01:00,ANCHOR_ALL, 10.01,N
01/29/2023,01:00,ANDMDSLR_ALL, 9.82,N
01/29/2023,01:00,ANSON1_ALL, 9.94,N
01/29/2023,01:00,APPALOSA_ALL, 21.36,N
01/29/2023,01:00,AQUI_ALL, 10.15,N
01/29/2023,01:00,ARAGORN_RN, 23.25,N
01/29/2023,01:00,ASTRA_RN, 9.88,N
01/29/2023,01:00,ATK_ATKINSG7, 10.18,N
01/29/2023,01:00,AUSTPL_ALL, 10.64,N
01/29/2023,01:00,AVIAT_ALL, 9.69,N
01/29/2023,01:00,AZURE_RN, 9.89,N
01/29/2023,01:00,AZ_ALL, 10.33,N
01/29/2023,01:00,BAC_RN_ALL, 10.1,N
01/29/2023,01:00,BAFFIN_ALL, 3.51,N
01/29/2023,01:00,BAIRDWND_ALL, 9.97,N
01/29/2023,01:00,BARROW_ALL, 24.8,N
01/29/2023,01:00,BASTEN_CC1, 10.67,N
01/29/2023,01:00,BASTEN_CCU, 10.67,N
01/29/2023,01:00,BATCAVE_RN, 11.27,N
01/29/2023,01:00,BBREEZE_1_2, 1.5,N
01/29/2023,01:00,BCATWD_WD_1, 9.9,N
01/29/2023,01:00,BCH_RN, 10.1,N
01/29/2023,01:00,BCK_RN, 10.09,N
01/29/2023,01:00,BIGSTAR_ALL, 10.66,N
01/29/2023,01:00,BLACKJAK_RN, 7.21,N
01/29/2023,01:00,BLSMT1_5_A_6, 9.89,N
01/29/2023,01:00,BLUEJAY_RN, 10.17,N
01/29/2023,01:00,BOARDCRK_ALL, 10.14,N
01/29/2023,01:00,BOOTLEG_UN1, 20.27,N
01/29/2023,01:00,BORDAS_345, -22.77,N
01/29/2023,01:00,BOSQUESW_CC1, 10.2,N
01/29/2023,01:00,BOSQUESW_CC2, 10.21,N
01/29/2023,01:00,BOSQ_BSQSU_5, 10.21,N
01/29/2023,01:00,BOSQ_BSQS_12, 10.21,N
01/29/2023,01:00,BOSQ_BSQS_34, 10.2,N
01/29/2023,01:00,BRANDON_RN, 10.18,N
01/29/2023,01:00,BRAUNIG_CC1, 11.12,N
01/29/2023,01:00,BRAUNIG_VHB1, 11.33,N
01/29/2023,01:00,BRAUNIG_VHB2, 11.33,N
01/29/2023,01:00,BRAUNIG_VHB3, 11.55,N
01/29/2023,01:00,BRAZ_WND_ALL, 8.57,N
01/29/2023,01:00,BRA_AVR1_CT2, 11.12,N
01/29/2023,01:00,BRA_AVR_CST1, 11.12,N
01/29/2023,01:00,BRHEIGHT_RN, 10.1,N
01/29/2023,01:00,BRIGHTSD_RN, 9.64,N
01/29/2023,01:00,BRIGHTSD_U1, 9.64,N
01/29/2023,01:00,BRISCOE_WIND, 9.87,N
01/29/2023,01:00,BRPANGLE_RN, 10.1,N
01/29/2023,01:00,BRPMAGNO_RN, 10.1,N
01/29/2023,01:00,BRP_BRAZ_RN, 10.1,N
01/29/2023,01:00,BRP_DIKN_RN, 10.1,N
01/29/2023,01:00,BRP_LOOP_RN, 9.66,N
01/29/2023,01:00,BRP_LOP1_RN, -3.56,N
01/29/2023,01:00,BRP_PBL1_RN, 31.39,N
01/29/2023,01:00,BRP_PBL2_RN, 31.39,N
01/29/2023,01:00,BRP_RN_UNIT1, 11.39,N
01/29/2023,01:00,BRP_SEMI_RN, 10.1,N
01/29/2023,01:00,BRP_SWNY_RN, 10.1,N
01/29/2023,01:00,BRP_ZPT1_RN, -1.73,N
01/29/2023,01:00,BRP_ZPT2_RN, -1.73,N
01/29/2023,01:00,BRTSW_BCW1, 9.96,N
01/29/2023,01:00,BR_ARROW_ALL, 10.08,N
01/29/2023,01:00,BR_VHB6CT5_6, 11.33,N
01/29/2023,01:00,BR_VHB6CT7_8, 11.33,N
01/29/2023,01:00,BSS_U1, 10.1,N
01/29/2023,01:00,BTE_BTE_G1, 10.32,N
01/29/2023,01:00,BTE_BTE_G2, 10.32,N
01/29/2023,01:00,BTE_BTE_G3, 10.32,N
01/29/2023,01:00,BTE_BTE_G4, 10.32,N
01/29/2023,01:00,BTE_CC1, 10.32,N
01/29/2023,01:00,BTE_PUN1, 10.32,N
01/29/2023,01:00,BTE_PUN2, 10.32,N
01/29/2023,01:00,BUCHAN_ALL, 11.06,N
01/29/2023,01:00,BUCKTHRN_RN, 10.03,N
01/29/2023,01:00,BUFF_GAP_ALL, 9.91,N
01/29/2023,01:00,BULLCRK_1_2, 10.47,N
01/29/2023,01:00,BVE_CC1, 10.1,N
01/29/2023,01:00,BVE_UNIT1, 10.1,N
01/29/2023,01:00,BVE_UNIT2, 10.1,N
01/29/2023,01:00,BVE_UNIT3, 10.1,N
01/29/2023,01:00,BYRDR_ES_ALL, 10.1,N
01/29/2023,01:00,BYU_BYU_1, 10.12,N
01/29/2023,01:00,BYU_BYU_12, 10.12,N
01/29/2023,01:00,BYU_BYU_34, 10.12,N
01/29/2023,01:00,BYU_BYU_G8, 10.12,N
01/29/2023,01:00,BYU_CC1, 10.12,N
01/29/2023,01:00,BYU_PUN1, 10.12,N
01/29/2023,01:00,BYU_PUN2, 10.12,N
01/29/2023,01:00,BYU_PUN3, 10.12,N
01/29/2023,01:00,BYU_PUN4, 10.12,N
01/29/2023,01:00,B_DAVIS_3, 6.03,N
01/29/2023,01:00,B_DAVIS_4, 6.03,N
01/29/2023,01:00,B_DAVIS_CC1, 6.03,N
01/29/2023,01:00,B_D_B_DAVIG1, 6.03,N
01/29/2023,01:00,B_D_B_DAVIG2, 6.03,N
01/29/2023,01:00,CABEZON_ALL, -22.48,N
01/29/2023,01:00,CALAVER_JKS1, 11.02,N
01/29/2023,01:00,CALAVER_JKS2, 11.02,N
01/29/2023,01:00,CALAVER_JTD1, 11.4,N
