Date,px_da,px_rt,px_up,px_down,px_spin
2022-01-31 00:00:00,18.53,3.285,1.5,3.5,1.5
2022-01-31 01:00:00,16.7,4.1625,2,2.49,1.5
2022-01-31 02:00:00,15.67,0.39,1.99,1.49,1.49
2022-01-31 03:00:00,14.72,-1.74,1.99,1.49,1.49
2022-01-31 04:00:00,14.54,0.6575,2,1.49,1.5
2022-01-31 05:00:00,14.31,1.015,4,7.89,2
2022-01-31 06:00:00,17.27,2.825,4.69,4.69,2
2022-01-31 07:00:00,17.67,2.5375,3.69,3.98,2
2022-01-31 08:00:00,18.17,0.43,5,12.06,1.95
2022-01-31 09:00:00,15.59,0.46,3.29,7,1.5
2022-01-31 10:00:00,15.73,-0.005,3.69,6.7,1.5
2022-01-31 11:00:00,16.02,-0.305,2.68,5.69,1.5
2022-01-31 12:00:00,16.37,-0.9,2.3,5.31,1.5
2022-01-31 13:00:00,15.53,-0.4425,2.65,5.01,1.5
2022-01-31 14:00:00,15.65,-0.0325,2.68,5.69,1.5
2022-01-31 15:00:00,15.28,0.475,3.97,7.5,1.5
2022-01-31 16:00:00,18.52,26.5275,9.46,7.01,1.95
2022-01-31 17:00:00,24.6,44.745,7.66,7.98,2.3
2022-01-31 18:00:00,19.28,17.9375,2.29,7,1.95
2022-01-31 19:00:00,17.07,9.2875,1.5,3.5,1.65
2022-01-31 20:00:00,16.09,8.33,1.5,4.51,1.5
2022-01-31 21:00:00,15.21,2.47,2.45,5.46,1.65
2022-01-31 22:00:00,10.96,-1.6225,2.65,7.5,2.11
2022-01-31 23:00:00,8.32,-2.5825,1.45,7.01,1.95
