DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
02/01/2022,01:00,AEEC, -2.31,N
02/01/2022,01:00,AJAXWIND_RN, -1.46,N
02/01/2022,01:00,ALGOD_ALL_RN, 18.94,N
02/01/2022,01:00,ALVIN_RN, 18.22,N
02/01/2022,01:00,AMADEUS_ALL, 1.98,N
02/01/2022,01:00,AMISTAD_ALL, 8.01,N
02/01/2022,01:00,AMOCOOIL_CC1, 18.37,N
02/01/2022,01:00,AMOCOOIL_CC2, 18.37,N
02/01/2022,01:00,AMOCO_PUN1, 18.37,N
02/01/2022,01:00,AMOCO_PUN2, 18.37,N
02/01/2022,01:00,AMO_AMOCO_1, 18.37,N
02/01/2022,01:00,AMO_AMOCO_2, 18.37,N
02/01/2022,01:00,AMO_AMOCO_5, 18.37,N
02/01/2022,01:00,AMO_AMOCO_G1, 18.37,N
02/01/2022,01:00,AMO_AMOCO_G2, 18.37,N
02/01/2022,01:00,AMO_AMOCO_G3, 18.37,N
02/01/2022,01:00,AMO_AMOCO_S1, 18.37,N
02/01/2022,01:00,AMO_AMOCO_S2, 18.37,N
02/01/2022,01:00,ANACACHO_ANA, 9.82,N
02/01/2022,01:00,ANCHOR_ALL, 12.25,N
02/01/2022,01:00,ANSON1_ALL, 4.95,N
02/01/2022,01:00,AQUI_ALL, 20.15,N
02/01/2022,01:00,ARAGORN_RN, 3.64,N
02/01/2022,01:00,ASTRA_RN, -0.77,N
02/01/2022,01:00,ATK_ATKINSG7, 19.19,N
02/01/2022,01:00,AUSTPL_ALL, 15.13,N
02/01/2022,01:00,AVIAT_ALL, 3.34,N
02/01/2022,01:00,AZURE_RN, 1.91,N
02/01/2022,01:00,AZ_ALL, 18.57,N
02/01/2022,01:00,BAC_RN_ALL, 18.37,N
02/01/2022,01:00,BAFFIN_ALL, 19.14,N
02/01/2022,01:00,BAIRDWND_ALL, 8.31,N
02/01/2022,01:00,BARROW_ALL, 3.36,N
02/01/2022,01:00,BASTEN_CC1, 15.5,N
02/01/2022,01:00,BASTEN_CCU, 15.5,N
02/01/2022,01:00,BATCAVE_RN, 13.11,N
02/01/2022,01:00,BBREEZE_1_2, 19.32,N
02/01/2022,01:00,BCATWD_WD_1, -2.77,N
02/01/2022,01:00,BCK_RN, 18.45,N
02/01/2022,01:00,BIGSTAR_ALL, 15.39,N
02/01/2022,01:00,BLACKJAK_RN, 18.01,N
02/01/2022,01:00,BLSMT1_5_A_6, -0.17,N
02/01/2022,01:00,BLUEJAY_RN, 19.34,N
02/01/2022,01:00,BOOTLEG_UN1, 4.2,N
02/01/2022,01:00,BORDAS_345, 19.66,N
02/01/2022,01:00,BOSQUESW_CC1, 16.17,N
02/01/2022,01:00,BOSQUESW_CC2, 17.21,N
02/01/2022,01:00,BOSQ_BSQSU_5, 17.21,N
02/01/2022,01:00,BOSQ_BSQS_12, 17.21,N
02/01/2022,01:00,BOSQ_BSQS_34, 16.17,N
02/01/2022,01:00,BRANDON_RN, -0.78,N
02/01/2022,01:00,BRAUNIG_CC1, 14.92,N
02/01/2022,01:00,BRAUNIG_VHB1, 17.95,N
02/01/2022,01:00,BRAUNIG_VHB2, 17.95,N
02/01/2022,01:00,BRAUNIG_VHB3, 16.88,N
02/01/2022,01:00,BRAZ_WND_ALL, 2.16,N
02/01/2022,01:00,BRA_AVR1_CT2, 14.92,N
02/01/2022,01:00,BRA_AVR_CST1, 14.92,N
02/01/2022,01:00,BRHEIGHT_RN, 18.37,N
02/01/2022,01:00,BRIGHTSD_RN, 27.07,N
02/01/2022,01:00,BRISCOE_WIND, -0.44,N
02/01/2022,01:00,BRPANGLE_RN, 18,N
02/01/2022,01:00,BRPMAGNO_RN, 18.31,N
02/01/2022,01:00,BRP_BRAZ_RN, 18.01,N
02/01/2022,01:00,BRP_DIKN_RN, 18.34,N
02/01/2022,01:00,BRP_LOOP_RN, 16.3,N
02/01/2022,01:00,BRP_LOP1_RN, 19.5,N
02/01/2022,01:00,BRP_PBL1_RN, 17.8,N
02/01/2022,01:00,BRP_PBL2_RN, 17.8,N
02/01/2022,01:00,BRP_RN_UNIT1, 14.39,N
02/01/2022,01:00,BRP_SEMI_RN, 18.29,N
02/01/2022,01:00,BRP_SWNY_RN, 18.02,N
02/01/2022,01:00,BRP_ZPT1_RN, 19.56,N
02/01/2022,01:00,BRP_ZPT2_RN, 19.56,N
02/01/2022,01:00,BRTSW_BCW1, -1.61,N
02/01/2022,01:00,BR_VHB6CT5_6, 17.95,N
02/01/2022,01:00,BR_VHB6CT7_8, 17.95,N
02/01/2022,01:00,BSS_U1, 18.02,N
02/01/2022,01:00,BTE_BTE_G1, 18.61,N
02/01/2022,01:00,BTE_BTE_G2, 18.61,N
02/01/2022,01:00,BTE_BTE_G3, 18.61,N
02/01/2022,01:00,BTE_BTE_G4, 18.61,N
02/01/2022,01:00,BTE_CC1, 18.61,N
02/01/2022,01:00,BTE_PUN1, 18.61,N
02/01/2022,01:00,BTE_PUN2, 18.61,N
02/01/2022,01:00,BUCHAN_ALL, 14.1,N
02/01/2022,01:00,BUCKTHRN_RN, -1.9,N
02/01/2022,01:00,BUFF_GAP_ALL, 1.66,N
02/01/2022,01:00,BULLCRK_1_2, 3.5,N
02/01/2022,01:00,BVE_CC1, 18.45,N
02/01/2022,01:00,BVE_UNIT1, 18.45,N
02/01/2022,01:00,BVE_UNIT2, 18.45,N
02/01/2022,01:00,BVE_UNIT3, 18.45,N
02/01/2022,01:00,BYU_BYU_1, 18.46,N
02/01/2022,01:00,BYU_BYU_12, 18.46,N
02/01/2022,01:00,BYU_BYU_34, 18.46,N
02/01/2022,01:00,BYU_BYU_G8, 18.46,N
02/01/2022,01:00,BYU_CC1, 18.46,N
02/01/2022,01:00,BYU_PUN1, 18.46,N
02/01/2022,01:00,BYU_PUN2, 18.46,N
02/01/2022,01:00,BYU_PUN3, 18.46,N
02/01/2022,01:00,BYU_PUN4, 18.46,N
02/01/2022,01:00,B_DAVIS_3, 19.39,N
02/01/2022,01:00,B_DAVIS_4, 19.39,N
02/01/2022,01:00,B_DAVIS_CC1, 19.39,N
02/01/2022,01:00,B_D_B_DAVIG1, 19.39,N
02/01/2022,01:00,B_D_B_DAVIG2, 19.39,N
02/01/2022,01:00,CABEZON_ALL, 19.63,N
02/01/2022,01:00,CALAVER_JKS1, 14.91,N
02/01/2022,01:00,CALAVER_JKS2, 14.91,N
02/01/2022,01:00,CALAVER_JTD1, 17.14,N
02/01/2022,01:00,CALAVER_JTD2, 17.14,N
02/01/2022,01:00,CALAVER_OWS1, 18.2,N
02/01/2022,01:00,CALAVER_OWS2, 18.2,N
02/01/2022,01:00,CALHOUN_ALL, 15.66,N
02/01/2022,01:00,CALLAHA_WND1, 1.29,N
02/01/2022,01:00,CAL_CALGT1, 18.57,N
02/01/2022,01:00,CAL_CALSTG1, 18.57,N
02/01/2022,01:00,CAL_CC1, 18.57,N
02/01/2022,01:00,CAL_PUN1, 18.57,N
02/01/2022,01:00,CAL_PUN2, 18.57,N
02/01/2022,01:00,CAMWIND_RN, 19.3,N
02/01/2022,01:00,CAPRIDG4_CR4, 3.34,N
02/01/2022,01:00,CAPRIDGE_ALL, 3.34,N
02/01/2022,01:00,CARBN_BSP_1, 2.89,N
02/01/2022,01:00,CASL_GAP_UN1, 3.72,N
02/01/2022,01:00,CBECII_1, 17.62,N
02/01/2022,01:00,CBECII_2, 17.62,N
02/01/2022,01:00,CBECII_89, 17.62,N
02/01/2022,01:00,CBECII_CC3, 17.62,N
02/01/2022,01:00,CBECII_CT7, 17.62,N
02/01/2022,01:00,CBEC_ALL, 17.41,N
02/01/2022,01:00,CBEC_CC1, 17.41,N
02/01/2022,01:00,CBEC_CC2, 17.41,N
02/01/2022,01:00,CBY4_ALL, 18.6,N
02/01/2022,01:00,CBY4_CC1, 18.6,N
02/01/2022,01:00,CBY_CBY_G1, 18.58,N
02/01/2022,01:00,CBY_CBY_G2, 18.59,N
02/01/2022,01:00,CCEC_CC1, 19.47,N
02/01/2022,01:00,CCEC_GT1, 19.47,N
02/01/2022,01:00,CCEC_GT2, 19.47,N
02/01/2022,01:00,CCEC_PUN1, 19.47,N
02/01/2022,01:00,CCEC_PUN2, 19.47,N
02/01/2022,01:00,CCEC_ST1, 19.47,N
02/01/2022,01:00,CEDROHI_CHW1, 19.67,N
02/01/2022,01:00,CFLATS_UNIT, 3.22,N
02/01/2022,01:00,CHALUP_ALL, 19.3,N
02/01/2022,01:00,CHAMON_UN1, 18.63,N
02/01/2022,01:00,CHAMON_UN2, 18.63,N
02/01/2022,01:00,CHEDPW_GT2, 18.69,N
02/01/2022,01:00,CHE_CC1, 18.68,N
02/01/2022,01:00,CHE_LYD, 18.68,N
02/01/2022,01:00,CHE_LYD2, 18.68,N
02/01/2022,01:00,CHE_PUN1, 18.68,N
02/01/2022,01:00,CHE_PUN2, 18.68,N
