Dayahead Market MCPs.

01/01/2023,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
MISO Wide,-,DEMREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
MISO Wide,-,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
MISO Wide,-,DEMSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
MISO Wide,-,GENSPINMCP,2.25,2.03,2,2,1.96,1.67,2,2.28,2.28,2.28,2.71,2.72,2.4,2.4,2.4,2.4,2.89,6.84,6,4.39,3.43,3,2.62,2.4
MISO Wide,-,DEMSUPPMCP,.2,.2,.2,.2,.2,.2,.2,.2,.2,.22,.22,.22,.22,.22,.22,.22,.24,.24,.24,.24,.24,.24,.24,.24
MISO Wide,-,GENSUPPMCP,.2,.2,.2,.2,.2,.2,.2,.2,.2,.22,.22,.22,.22,.22,.22,.22,.24,.24,.24,.24,.24,.24,.24,.24
MISO Wide,-,SERREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54


Pnode,Zone,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
ALTW.ADAMSADAM,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.AMESWIND,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.BART1NIPS,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
ALTW.BART1WPPI,Zone 1,GENREGMCP,8.9,8.14,7.84,8.11,9.14,7.91,15,15,15,15,15,15,15,15,14.87,14.65,15,20.36,17.78,17.69,15,14.97,15,14.54
