DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag
02/01/2022,01:00,RRS,4.05,N
02/01/2022,01:00,REGUP,4.15,N
02/01/2022,01:00,REGDN,4.7,N
02/01/2022,01:00,NSPIN,1.05,N
02/01/2022,02:00,REGDN,4.1,N
02/01/2022,02:00,REGUP,4.1,N
02/01/2022,02:00,RRS,4,N
02/01/2022,02:00,NSPIN,1.05,N
02/01/2022,03:00,REGDN,4,N
02/01/2022,03:00,REGUP,4.55,N
02/01/2022,03:00,NSPIN,1.25,N
02/01/2022,03:00,RRS,4.45,N
02/01/2022,04:00,REGDN,5.1,N
02/01/2022,04:00,REGUP,5.1,N
02/01/2022,04:00,RRS,5,N
02/01/2022,04:00,NSPIN,1.25,N
02/01/2022,05:00,REGDN,7.48,N
02/01/2022,05:00,RRS,6,N
02/01/2022,05:00,REGUP,6.98,N
02/01/2022,05:00,NSPIN,1.25,N
02/01/2022,06:00,RRS,10.15,N
02/01/2022,06:00,REGUP,13.14,N
02/01/2022,06:00,REGDN,17.23,N
02/01/2022,06:00,NSPIN,1.42,N
02/01/2022,07:00,RRS,20.42,N
02/01/2022,07:00,REGUP,23,N
02/01/2022,07:00,REGDN,12,N
02/01/2022,07:00,NSPIN,5.2,N
02/01/2022,08:00,REGDN,13.5,N
02/01/2022,08:00,REGUP,17.61,N
02/01/2022,08:00,RRS,17.61,N
02/01/2022,08:00,NSPIN,6.95,N
02/01/2022,09:00,RRS,15.17,N
02/01/2022,09:00,REGUP,16.15,N
02/01/2022,09:00,REGDN,16.15,N
02/01/2022,09:00,NSPIN,5.02,N
02/01/2022,10:00,REGDN,14.21,N
02/01/2022,10:00,REGUP,14.21,N
02/01/2022,10:00,RRS,7.72,N
02/01/2022,10:00,NSPIN,3.14,N
02/01/2022,11:00,REGDN,13.5,N
02/01/2022,11:00,REGUP,13.5,N
02/01/2022,11:00,NSPIN,2.85,N
02/01/2022,11:00,RRS,8,N
02/01/2022,12:00,REGDN,12,N
02/01/2022,12:00,RRS,6.8,N
02/01/2022,12:00,REGUP,12,N
02/01/2022,12:00,NSPIN,3.14,N
02/01/2022,13:00,REGDN,13.01,N
02/01/2022,13:00,REGUP,13.01,N
02/01/2022,13:00,RRS,8,N
02/01/2022,13:00,NSPIN,2.85,N
02/01/2022,14:00,REGDN,13.63,N
02/01/2022,14:00,REGUP,13.63,N
02/01/2022,14:00,RRS,5.43,N
02/01/2022,14:00,NSPIN,3,N
02/01/2022,15:00,REGDN,10.6,N
02/01/2022,15:00,REGUP,10.6,N
02/01/2022,15:00,RRS,8.15,N
02/01/2022,15:00,NSPIN,9.54,N
02/01/2022,16:00,REGDN,11.15,N
02/01/2022,16:00,REGUP,11.15,N
02/01/2022,16:00,NSPIN,10,N
02/01/2022,16:00,RRS,8.15,N
02/01/2022,17:00,REGDN,12,N
02/01/2022,17:00,REGUP,12,N
02/01/2022,17:00,RRS,8.12,N
02/01/2022,17:00,NSPIN,10,N
02/01/2022,18:00,REGDN,30,N
02/01/2022,18:00,RRS,44.23,N
02/01/2022,18:00,REGUP,44.73,N
02/01/2022,18:00,NSPIN,48.03,N
02/01/2022,19:00,REGDN,15,N
02/01/2022,19:00,REGUP,27.61,N
02/01/2022,19:00,NSPIN,25,N
02/01/2022,19:00,RRS,27.51,N
02/01/2022,20:00,REGDN,9.93,N
02/01/2022,20:00,REGUP,10.41,N
02/01/2022,20:00,RRS,10.41,N
02/01/2022,20:00,NSPIN,8.35,N
02/01/2022,21:00,REGDN,7.11,N
02/01/2022,21:00,REGUP,7.01,N
02/01/2022,21:00,RRS,7.01,N
02/01/2022,21:00,NSPIN,6.95,N
02/01/2022,22:00,REGDN,5,N
02/01/2022,22:00,REGUP,5.97,N
02/01/2022,22:00,NSPIN,4.15,N
02/01/2022,22:00,RRS,5.97,N
02/01/2022,23:00,REGDN,6.38,N
02/01/2022,23:00,REGUP,6.38,N
02/01/2022,23:00,RRS,6.28,N
02/01/2022,23:00,NSPIN,1.7,N
02/01/2022,24:00,REGDN,4.39,N
02/01/2022,24:00,REGUP,4.15,N
02/01/2022,24:00,RRS,4.29,N
02/01/2022,24:00,NSPIN,1.7,N
