DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
01/30/2022,24,4,AEEC,RN,22.92,N
01/30/2022,24,4,AJAXWIND_RN,RN,22.92,N
01/30/2022,24,4,ALGOD_ALL_RN,RN,22.92,N
01/30/2022,24,4,ALVIN_RN,RN,22.92,N
01/30/2022,24,4,AMADEUS_ALL,RN,22.92,N
01/30/2022,24,4,AMISTAD_ALL,RN,22.92,N
01/30/2022,24,4,AMOCOOIL_CC1,LCCRN,22.92,N
01/30/2022,24,4,AMOCOOIL_CC2,LCCRN,22.92,N
01/30/2022,24,4,AMOCO_PUN1,PUN,22.92,N
01/30/2022,24,4,AMOCO_PUN2,PUN,22.92,N
01/30/2022,24,4,AMO_AMOCO_1,PCCRN,22.92,N
01/30/2022,24,4,AMO_AMOCO_2,PCCRN,22.92,N
01/30/2022,24,4,AMO_AMOCO_5,PCCRN,22.92,N
01/30/2022,24,4,AMO_AMOCO_G1,PCCRN,22.92,N
01/30/2022,24,4,AMO_AMOCO_G2,PCCRN,22.92,N
01/30/2022,24,4,AMO_AMOCO_G3,PCCRN,22.92,N
01/30/2022,24,4,AMO_AMOCO_S1,PCCRN,22.92,N
01/30/2022,24,4,AMO_AMOCO_S2,PCCRN,22.92,N
01/30/2022,24,4,ANACACHO_ANA,RN,22.92,N
01/30/2022,24,4,ANCHOR_ALL,RN,22.92,N
01/30/2022,24,4,ANSON1_ALL,RN,22.92,N
01/30/2022,24,4,AQUI_ALL,RN,22.92,N
01/30/2022,24,4,ARAGORN_RN,RN,22.92,N
01/30/2022,24,4,ASTRA_RN,RN,22.92,N
01/30/2022,24,4,ATK_ATKINSG7,RN,22.92,N
01/30/2022,24,4,AUSTPL_ALL,RN,22.92,N
01/30/2022,24,4,AVIAT_ALL,RN,22.92,N
01/30/2022,24,4,AZURE_RN,RN,22.92,N
01/30/2022,24,4,AZ_ALL,RN,22.92,N
01/30/2022,24,4,BAC_RN_ALL,RN,22.92,N
01/30/2022,24,4,BAFFIN_ALL,RN,-0.1,N
01/30/2022,24,4,BAIRDWND_ALL,RN,22.92,N
01/30/2022,24,4,BARROW_ALL,RN,22.92,N
01/30/2022,24,4,BASTEN_CC1,LCCRN,22.92,N
01/30/2022,24,4,BASTEN_CCU,PCCRN,22.92,N
01/30/2022,24,4,BATCAVE_RN,RN,22.92,N
01/30/2022,24,4,BBREEZE_1_2,RN,-0.1,N
01/30/2022,24,4,BCATWD_WD_1,RN,22.92,N
01/30/2022,24,4,BCK_RN,RN,22.92,N
01/30/2022,24,4,BIGSTAR_ALL,RN,22.92,N
01/30/2022,24,4,BLACKJAK_RN,RN,22.92,N
01/30/2022,24,4,BLSMT1_5_A_6,RN,22.92,N
01/30/2022,24,4,BLUEJAY_RN,RN,22.92,N
01/30/2022,24,4,BOOTLEG_UN1,RN,22.92,N
01/30/2022,24,4,BORDAS_345,RN,-31.64,N
01/30/2022,24,4,BOSQUESW_CC1,LCCRN,22.92,N
01/30/2022,24,4,BOSQUESW_CC2,LCCRN,22.92,N
01/30/2022,24,4,BOSQ_BSQSU_5,PCCRN,22.92,N
01/30/2022,24,4,BOSQ_BSQS_12,PCCRN,22.92,N
01/30/2022,24,4,BOSQ_BSQS_34,PCCRN,22.92,N
01/30/2022,24,4,BRANDON_RN,RN,22.92,N
01/30/2022,24,4,BRAUNIG_CC1,LCCRN,22.92,N
01/30/2022,24,4,BRAUNIG_VHB1,RN,22.92,N
01/30/2022,24,4,BRAUNIG_VHB2,RN,22.92,N
01/30/2022,24,4,BRAUNIG_VHB3,RN,22.92,N
01/30/2022,24,4,BRAZ_WND_ALL,RN,22.92,N
01/30/2022,24,4,BRA_AVR1_CT2,PCCRN,22.92,N
01/30/2022,24,4,BRA_AVR_CST1,PCCRN,22.92,N
01/30/2022,24,4,BRHEIGHT_RN,RN,22.92,N
01/30/2022,24,4,BRIGHTSD_RN,RN,22.92,N
01/30/2022,24,4,BRISCOE_WIND,RN,22.92,N
01/30/2022,24,4,BRPANGLE_RN,RN,22.92,N
01/30/2022,24,4,BRPMAGNO_RN,RN,22.92,N
01/30/2022,24,4,BRP_BRAZ_RN,RN,22.92,N
01/30/2022,24,4,BRP_DIKN_RN,RN,22.92,N
01/30/2022,24,4,BRP_LOOP_RN,RN,22.92,N
01/30/2022,24,4,BRP_LOP1_RN,RN,22.92,N
01/30/2022,24,4,BRP_PBL1_RN,RN,22.92,N
01/30/2022,24,4,BRP_PBL2_RN,RN,22.92,N
01/30/2022,24,4,BRP_RN_UNIT1,RN,22.92,N
01/30/2022,24,4,BRP_SEMI_RN,RN,22.92,N
01/30/2022,24,4,BRP_SWNY_RN,RN,22.92,N
01/30/2022,24,4,BRP_ZPT1_RN,RN,22.92,N
01/30/2022,24,4,BRP_ZPT2_RN,RN,22.92,N
01/30/2022,24,4,BRTSW_BCW1,RN,22.92,N
01/30/2022,24,4,BR_VHB6CT5_6,RN,22.92,N
01/30/2022,24,4,BR_VHB6CT7_8,RN,22.92,N
01/30/2022,24,4,BSS_U1,RN,22.92,N
01/30/2022,24,4,BTE_BTE_G1,PCCRN,22.92,N
01/30/2022,24,4,BTE_BTE_G2,PCCRN,22.92,N
01/30/2022,24,4,BTE_BTE_G3,PCCRN,22.92,N
01/30/2022,24,4,BTE_BTE_G4,PCCRN,22.92,N
01/30/2022,24,4,BTE_CC1,LCCRN,22.92,N
01/30/2022,24,4,BTE_PUN1,PUN,22.92,N
01/30/2022,24,4,BTE_PUN2,PUN,22.92,N
01/30/2022,24,4,BUCHAN_ALL,RN,22.92,N
01/30/2022,24,4,BUCKTHRN_RN,RN,22.92,N
01/30/2022,24,4,BUFF_GAP_ALL,RN,22.92,N
01/30/2022,24,4,BULLCRK_1_2,RN,22.92,N
01/30/2022,24,4,BVE_CC1,LCCRN,22.92,N
01/30/2022,24,4,BVE_UNIT1,PCCRN,22.92,N
01/30/2022,24,4,BVE_UNIT2,PCCRN,22.92,N
01/30/2022,24,4,BVE_UNIT3,PCCRN,22.92,N
01/30/2022,24,4,BYU_BYU_1,RN,22.92,N
01/30/2022,24,4,BYU_BYU_12,PCCRN,22.92,N
01/30/2022,24,4,BYU_BYU_34,PCCRN,22.92,N
01/30/2022,24,4,BYU_BYU_G8,RN,22.92,N
01/30/2022,24,4,BYU_CC1,LCCRN,22.92,N
01/30/2022,24,4,BYU_PUN1,PUN,22.92,N
01/30/2022,24,4,BYU_PUN2,PUN,22.92,N
01/30/2022,24,4,BYU_PUN3,PUN,22.92,N
01/30/2022,24,4,BYU_PUN4,PUN,22.92,N
01/30/2022,24,4,B_DAVIS_3,PCCRN,22.92,N
01/30/2022,24,4,B_DAVIS_4,PCCRN,22.92,N
