,node,timezone,date,px_rt,px_da,px_nospin,px_down,px_up,px_spin
0,AMO_AMOCO_G1,US/Central,2022-01-31 00:00:00,21.67,25.69,1.0,4.0,3.0,2.5
1,AMO_AMOCO_G1,US/Central,2022-01-31 00:15:00,7.94,25.69,1.0,4.0,3.0,2.5
2,AMO_AMOCO_G1,US/Central,2022-01-31 00:30:00,13.15,25.69,1.0,4.0,3.0,2.5
3,AMO_AMOCO_G1,US/Central,2022-01-31 00:45:00,20.55,25.69,1.0,4.0,3.0,2.5
4,AMO_AMOCO_G1,US/Central,2022-01-31 01:00:00,13.23,21.19,0.99,3.0,3.0,2.38
5,AMO_AMOCO_G1,US/Central,2022-01-31 01:15:00,0.61,21.19,0.99,3.0,3.0,2.38
6,AMO_AMOCO_G1,US/Central,2022-01-31 01:30:00,16.16,21.19,0.99,3.0,3.0,2.38
7,AMO_AMOCO_G1,US/Central,2022-01-31 01:45:00,13.25,21.19,0.99,3.0,3.0,2.38
8,AMO_AMOCO_G1,US/Central,2022-01-31 02:00:00,13.91,22.1,1.02,3.5,3.5,2.38
9,AMO_AMOCO_G1,US/Central,2022-01-31 02:15:00,18.05,22.1,1.02,3.5,3.5,2.38
10,AMO_AMOCO_G1,US/Central,2022-01-31 02:30:00,21.15,22.1,1.02,3.5,3.5,2.38
11,AMO_AMOCO_G1,US/Central,2022-01-31 02:45:00,21.65,22.1,1.02,3.5,3.5,2.38
12,AMO_AMOCO_G1,US/Central,2022-01-31 03:00:00,21.4,26.96,1.02,3.59,3.59,2.38
13,AMO_AMOCO_G1,US/Central,2022-01-31 03:15:00,22.92,26.96,1.02,3.59,3.59,2.38
14,AMO_AMOCO_G1,US/Central,2022-01-31 03:30:00,22.82,26.96,1.02,3.59,3.59,2.38
15,AMO_AMOCO_G1,US/Central,2022-01-31 03:45:00,22.93,26.96,1.02,3.59,3.59,2.38
16,AMO_AMOCO_G1,US/Central,2022-01-31 04:00:00,26.61,30.5,1.02,4.0,4.17,3.97
17,AMO_AMOCO_G1,US/Central,2022-01-31 04:15:00,27.4,30.5,1.02,4.0,4.17,3.97
18,AMO_AMOCO_G1,US/Central,2022-01-31 04:30:00,26.07,30.5,1.02,4.0,4.17,3.97
19,AMO_AMOCO_G1,US/Central,2022-01-31 04:45:00,25.45,30.5,1.02,4.0,4.17,3.97
20,AMO_AMOCO_G1,US/Central,2022-01-31 05:00:00,25.68,40.44,1.05,10.98,11.0,10.0
21,AMO_AMOCO_G1,US/Central,2022-01-31 05:15:00,26.33,40.44,1.05,10.98,11.0,10.0
22,AMO_AMOCO_G1,US/Central,2022-01-31 05:30:00,32.21,40.44,1.05,10.98,11.0,10.0
23,AMO_AMOCO_G1,US/Central,2022-01-31 05:45:00,33.13,40.44,1.05,10.98,11.0,10.0
24,AMO_AMOCO_G1,US/Central,2022-01-31 06:00:00,34.98,56.89,12.0,7.5,24.15,21.76
25,AMO_AMOCO_G1,US/Central,2022-01-31 06:15:00,40.16,56.89,12.0,7.5,24.15,21.76
26,AMO_AMOCO_G1,US/Central,2022-01-31 06:30:00,45.19,56.89,12.0,7.5,24.15,21.76
27,AMO_AMOCO_G1,US/Central,2022-01-31 06:45:00,54.27,56.89,12.0,7.5,24.15,21.76
28,AMO_AMOCO_G1,US/Central,2022-01-31 07:00:00,59.67,71.42,27.52,12.0,29.15,29.15
29,AMO_AMOCO_G1,US/Central,2022-01-31 07:15:00,100.62,71.42,27.52,12.0,29.15,29.15
30,AMO_AMOCO_G1,US/Central,2022-01-31 07:30:00,105.16,71.42,27.52,12.0,29.15,29.15
31,AMO_AMOCO_G1,US/Central,2022-01-31 07:45:00,130.61,71.42,27.52,12.0,29.15,29.15
32,AMO_AMOCO_G1,US/Central,2022-01-31 08:00:00,386.81,59.53,7.0,18.59,19.14,19.14
33,AMO_AMOCO_G1,US/Central,2022-01-31 08:15:00,57.18,59.53,7.0,18.59,19.14,19.14
34,AMO_AMOCO_G1,US/Central,2022-01-31 08:30:00,46.8,59.53,7.0,18.59,19.14,19.14
35,AMO_AMOCO_G1,US/Central,2022-01-31 08:45:00,38.53,59.53,7.0,18.59,19.14,19.14
36,AMO_AMOCO_G1,US/Central,2022-01-31 09:00:00,60.59,43.73,3.14,11.33,10.78,10.16
37,AMO_AMOCO_G1,US/Central,2022-01-31 09:15:00,43.47,43.73,3.14,11.33,10.78,10.16
38,AMO_AMOCO_G1,US/Central,2022-01-31 09:30:00,47.42,43.73,3.14,11.33,10.78,10.16
39,AMO_AMOCO_G1,US/Central,2022-01-31 09:45:00,42.92,43.73,3.14,11.33,10.78,10.16
