Date,px_da,px_rt,px_up,px_down,px_spin
2022-01-31 00:00:00,26.48,21.67,3.0,4.0,2.5
2022-01-31 00:15:00,26.48,7.94,3.0,4.0,2.5
2022-01-31 00:30:00,26.48,13.79,3.0,4.0,2.5
2022-01-31 00:45:00,26.48,22.47,3.0,4.0,2.5
2022-01-31 01:00:00,22.02,14.76,3.0,3.0,2.38
2022-01-31 01:15:00,22.02,1.8,3.0,3.0,2.38
2022-01-31 01:30:00,22.02,18.05,3.0,3.0,2.38
2022-01-31 01:45:00,22.02,14.74,3.0,3.0,2.38
2022-01-31 02:00:00,22.97,14.88,3.5,3.5,2.38
2022-01-31 02:15:00,22.97,19.56,3.5,3.5,2.38
2022-01-31 02:30:00,22.97,23.12,3.5,3.5,2.38
2022-01-31 02:45:00,22.97,23.65,3.5,3.5,2.38
2022-01-31 03:00:00,27.7,23.34,3.59,3.59,2.38
2022-01-31 03:15:00,27.7,23.53,3.59,3.59,2.38
2022-01-31 03:30:00,27.7,22.82,3.59,3.59,2.38
2022-01-31 03:45:00,27.7,22.93,3.59,3.59,2.38
2022-01-31 04:00:00,31.2,26.61,4.17,4.0,3.97
2022-01-31 04:15:00,31.2,27.4,4.17,4.0,3.97
2022-01-31 04:30:00,31.2,26.07,4.17,4.0,3.97
2022-01-31 04:45:00,31.2,25.45,4.17,4.0,3.97
2022-01-31 05:00:00,41.51,25.68,11.0,10.98,10.0
2022-01-31 05:15:00,41.51,26.33,11.0,10.98,10.0
2022-01-31 05:30:00,41.51,32.21,11.0,10.98,10.0
2022-01-31 05:45:00,41.51,33.13,11.0,10.98,10.0
2022-01-31 06:00:00,56.9,34.98,24.15,7.5,21.76
2022-01-31 06:15:00,56.9,40.16,24.15,7.5,21.76
2022-01-31 06:30:00,56.9,45.19,24.15,7.5,21.76
2022-01-31 06:45:00,56.9,54.27,24.15,7.5,21.76
2022-01-31 07:00:00,71.43,59.67,29.15,12.0,29.15
2022-01-31 07:15:00,71.43,100.62,29.15,12.0,29.15
2022-01-31 07:30:00,71.43,105.16,29.15,12.0,29.15
2022-01-31 07:45:00,71.43,134.5,29.15,12.0,29.15
2022-01-31 08:00:00,60.05,386.81,19.14,18.59,19.14
2022-01-31 08:15:00,60.05,57.18,19.14,18.59,19.14
2022-01-31 08:30:00,60.05,46.8,19.14,18.59,19.14
2022-01-31 08:45:00,60.05,38.53,19.14,18.59,19.14
2022-01-31 09:00:00,43.73,60.59,10.78,11.33,10.16
2022-01-31 09:15:00,43.73,43.47,10.78,11.33,10.16
2022-01-31 09:30:00,43.73,47.42,10.78,11.33,10.16
2022-01-31 09:45:00,43.73,42.92,10.78,11.33,10.16
2022-01-31 10:00:00,39.96,46.51,6.65,10.0,6.15
2022-01-31 10:15:00,39.96,50.27,6.65,10.0,6.15
2022-01-31 10:30:00,39.96,40.39,6.65,10.0,6.15
2022-01-31 10:45:00,39.96,36.81,6.65,10.0,6.15
2022-01-31 11:00:00,36.37,34.47,6.52,6.52,5.54
2022-01-31 11:15:00,36.37,33.38,6.52,6.52,5.54
2022-01-31 11:30:00,36.37,31.56,6.52,6.52,5.54
2022-01-31 11:45:00,36.37,31.0,6.52,6.52,5.54
2022-01-31 12:00:00,34.47,30.95,4.64,8.0,3.54
2022-01-31 12:15:00,34.47,30.46,4.64,8.0,3.54
2022-01-31 12:30:00,34.47,30.74,4.64,8.0,3.54
2022-01-31 12:45:00,34.47,30.5,4.64,8.0,3.54
2022-01-31 13:00:00,31.06,30.58,3.6,8.0,2.7
2022-01-31 13:15:00,31.06,30.44,3.6,8.0,2.7
2022-01-31 13:30:00,31.06,28.93,3.6,8.0,2.7
2022-01-31 13:45:00,31.06,28.12,3.6,8.0,2.7
2022-01-31 14:00:00,29.24,25.44,4.22,8.0,3.5
2022-01-31 14:15:00,29.24,25.39,4.22,8.0,3.5
2022-01-31 14:30:00,29.24,24.2,4.22,8.0,3.5
2022-01-31 14:45:00,29.24,22.78,4.22,8.0,3.5
2022-01-31 15:00:00,29.15,21.84,3.61,5.0,3.01
2022-01-31 15:15:00,29.15,21.86,3.61,5.0,3.01
2022-01-31 15:30:00,29.15,22.42,3.61,5.0,3.01
2022-01-31 15:45:00,29.15,22.62,3.61,5.0,3.01
2022-01-31 16:00:00,30.51,22.89,7.15,6.22,4.01
2022-01-31 16:15:00,30.51,22.94,7.15,6.22,4.01
2022-01-31 16:30:00,30.51,23.28,7.15,6.22,4.01
2022-01-31 16:45:00,30.51,24.65,7.15,6.22,4.01
2022-01-31 17:00:00,81.82,25.65,46.25,7.01,46.15
2022-01-31 17:15:00,81.82,30.87,46.25,7.01,46.15
2022-01-31 17:30:00,81.82,33.82,46.25,7.01,46.15
2022-01-31 17:45:00,81.82,36.96,46.25,7.01,46.15
2022-01-31 18:00:00,71.72,37.41,30.51,15.0,30.51
2022-01-31 18:15:00,71.72,37.17,30.51,15.0,30.51
2022-01-31 18:30:00,71.72,34.84,30.51,15.0,30.51
2022-01-31 18:45:00,71.72,30.48,30.51,15.0,30.51
2022-01-31 19:00:00,37.57,29.8,4.86,6.96,6.86
2022-01-31 19:15:00,37.57,25.22,4.86,6.96,6.86
2022-01-31 19:30:00,37.57,23.2,4.86,6.96,6.86
2022-01-31 19:45:00,37.57,22.71,4.86,6.96,6.86
2022-01-31 20:00:00,33.57,22.22,3.53,5.63,5.53
2022-01-31 20:15:00,33.57,17.54,3.53,5.63,5.53
2022-01-31 20:30:00,33.57,4.59,3.53,5.63,5.53
2022-01-31 20:45:00,33.57,-1.15,3.53,5.63,5.53
2022-01-31 21:00:00,24.84,-3.5,4.55,4.01,4.55
2022-01-31 21:15:00,24.84,-7.99,4.55,4.01,4.55
2022-01-31 21:30:00,24.84,-8.46,4.55,4.01,4.55
2022-01-31 21:45:00,24.84,-8.69,4.55,4.01,4.55
2022-01-31 22:00:00,15.79,-9.82,5.0,5.1,5.0
2022-01-31 22:15:00,15.79,-9.06,5.0,5.1,5.0
2022-01-31 22:30:00,15.79,-9.05,5.0,5.1,5.0
2022-01-31 22:45:00,15.79,-8.78,5.0,5.1,5.0
2022-01-31 23:00:00,11.41,-9.04,6.0,6.55,6.0
2022-01-31 23:15:00,11.41,-10.19,6.0,6.55,6.0
2022-01-31 23:30:00,11.41,-12.51,6.0,6.55,6.0
